"index","name","critic_score","user_score"
"232","Madden NFL 2004 for PS2","9.5",""
"233","Call of Duty: Advanced Warfare for XOne","8.3","5.5"
"234","Fallout: New Vegas for PC","8.3",""
"235","Kingdom Hearts II for PS2","8.3",""
"236","Nintendo Land for WiiU","7.8","7.9"
"237","Super Mario Land 3: Wario Land for GB","7.9",""
"238","Donkey Kong Country 2: Diddy's Kong Quest for SNES","9.3",""
"239","Medal of Honor: Rising Sun for PS2","5.9",""
"240","Battlefield 1 for XOne","9.3","7.6"
"241","Microsoft Flight Simulator for PC","7",""
"242","Guitar Hero II for PS2","9.2",""
"243","Resident Evil 5 for PS3","8.6","8.8"
"244","Fable III for X360","7.8",""
"245","Mario & Sonic at the Olympic Games for DS","7",""
"246","Grand Theft Auto: Vice City Stories for PSP","8.4",""
"247","FIFA Soccer 11 for PS3","8.7",""
"248","Final Fantasy XV for PS4","8.1","9.5"
"249","Super Mario Bros. Deluxe for GB","9.7",""
"250","Fallout 4 for XOne","8.4","6.4"
"251","Tony Hawk's Pro Skater for PS","9.6",""
"252","Warzone 2100 for PS","7.5",""
"253","Spyro the Dragon for PS","8.7",""
"254","Gears of War for X360","9.4","9.4"
"255","Gears of War 2 for X360","9.4","9.5"
"256","Halo 5: Guardians for XOne","8.6","6.4"
"257","Halo: Combat Evolved for XB","9.5",""
"258","Guitar Hero III: Legends of Rock for PS2","8.2",""
"259","Uncharted: Drake's Fortune for PS3","8.7","8.6"
"260","Resident Evil 2 for PS","9.3",""
"261","Fallout 3 for X360","9","8.6"
"262","Splatoon for WiiU","8.4","8.7"
"263","Madden NFL 06 for PS2","9.1",""
"264","Stardew Valley for PC","9.2","8.7"
"265","Dragon Quest VIII: Journey of the Cursed King for PS2","8.6",""
"266","Pokemon Mystery Dungeon: Explorers of Time / Darkness for DS","6.4",""
"267","Diddy Kong Racing for N64","8.3",""
"268","Crash Bandicoot N. Sane Trilogy for PS4","8","8.5"
"269","Assassin's Creed for PS3","8.2","8.5"
"270","Call of Duty: Infinite Warfare for XOne","7.8","3.6"
"271","Crash Team Racing for PS","9.2",""
"272","LEGO Star Wars: The Complete Saga for DS","7.8",""
"273","The Legend of Zelda: Phantom Hourglass for DS","9.1",""
"274","Batman: Arkham City for X360","9.5",""
"275","Driver 2 for PS","7",""
"276","The Simpsons: Hit & Run for PS2","7.7",""
"277","World of Warcraft: Cataclysm for PC","9",""
"278","Tony Hawk's Pro Skater 2 for PS","9.3",""
"279","Gran Turismo for PSP","7.7","9.5"
"280","The Lord of the Rings: The Two Towers for PS2","8.3",""
"281","Tomb Raider for PS","8.9",""
"282","God of War for PS2","9.3",""
"283","The Legend of Zelda: A Link to the Past for SNES","10",""
"284","Left 4 Dead for PC","8.6","8.5"
"285","Guitar Hero III: Legends of Rock for Wii","8.6",""
"286","Forza Motorsport 4 for X360","9.1",""
"287","Nintendogs + cats for 3DS","7.2",""
"288","Pokemon: Let's Go, Pikachu! for NS","8.3","6.1"
"289","BioShock Infinite for PC","9.5","8.6"
"290","Mario & Luigi: Bowser's Inside Story for DS","9.1",""
"291","FIFA 15 for PS3","6.9",""
"292","Overwatch for PS4","8.8","6.4"
"293","Mario & Sonic at the Olympic Winter Games for Wii","6.8",""
"294","Madden NFL 2005 for PS2","9.5",""
"295","Guitar Hero III: Legends of Rock for X360","8.7",""
"296","Dead Island for PC","7.1","6.9"
"297","Warcraft III: Reign of Chaos for PC","9.3",""
"298","StarCraft II: Wings of Liberty for PC","9.3",""
"299","LittleBigPlanet for PS3","9.4","9.2"
"300","ARK: Survival Evolved for PC","7","5.2"
"301","Professor Layton and the Curious Village for DS","8.7",""
"302","Madden NFL 07 for PS2","8.5",""
"303","Spider-Man: The Movie for PS2","8.2",""
"304","The Elder Scrolls IV: Oblivion for X360","9.2",""
"305","The Legend of Zelda: The Wind Waker for GC","9.6",""
"306","Tony Hawk's Pro Skater 3 for PS2","9.1",""
"307","Winning Eleven: Pro Evolution Soccer 2007 for PS2","8.8",""
"308","The Legend of Zelda: Link's Awakening for NS","8.7","8.4"
"309","Michael Jackson: The Experience for Wii","5.6",""
"310","Tom Clancy's The Division for PS4","8","7"
"311","Need for Speed: Most Wanted for PS2","8.6",""
"312","Resistance: Fall of Man for PS3","8.5","9.1"
"313","Call of Duty: Advanced Warfare for X360","9.1",""
"314","Animal Crossing: City Folk for Wii","7.1","8.8"
"315","Watch Dogs for PS4","8","6.4"
"316","Starbound for PC","8.1","7.1"
"317","Asteroids for 2600","7.6","7.8"
"318","Dragon Quest VII for PS","8","3"
"319","Monster Hunter Generations for 3DS","8.8","8"
"320","The Witcher 3: Wild Hunt for XOne","9.1","9.2"
"321","Batman: Arkham Asylum for PS3","9",""
"322","Call of Duty: Advanced Warfare for PS3","9.1",""
"323","Namco Museum for GBA","8.5",""
"324","God of War II for PS2","9.3","9.8"
"325","Daxter for PSP","8.6",""
"326","Super Paper Mario for Wii","8.5",""
"327","Assassin's Creed: Revelations for PS3","8.8",""
"328","Metal Gear Solid 3: Snake Eater for PS2","9",""
"329","Assassin's Creed: Revelations for X360","7.9",""
"330","FIFA Soccer 06 for PS2","8.4",""
"331","Counter-Strike for PC","8.9",""
"332","Monster Hunter 4 Ultimate for 3DS","8.8","8.6"
"333","Mortal Kombat 11 for PS4","8.2","3.6"
"334","Street Fighter IV for PS3","9.3","9"
"335","FIFA Soccer 12 for X360","9.2",""
"336","Call of Duty: Ghosts for PS4","7.5","3.8"
"337","Teenage Mutant Ninja Turtles for NES","5.9",""
"338","Just Cause 2 for PC","8.2",""
"339","Excitebike for NES","8.4",""
"340","Frogger for PS","2",""
"341","Star Wars Battlefront (2015) for XOne","6.9",""
"342","FIFA 14 for X360","9.1",""
"343","Destiny 2 for PS4","8.5","4.9"
"344","Madden NFL 2003 for PS2","9.4",""
"345","Super Mario World 2: Yoshi's Island for SNES","9",""
"346","Batman: Arkham Knight for PS4","8.1","7.8"
"347","FIFA 07 Soccer for PS2","8.4",""
"348","The Sims 4 for PC","7","4"
"349","Street Fighter II Turbo for SNES","9",""
"350","Fallout: New Vegas for X360","8.2",""
"351","The Legend of Zelda: A Link Between Worlds for 3DS","9.3","9"
"352","Far Cry 4 for PS4","8.4","7.7"
"353","Carnival Games for Wii","4.2",""
"354","World Soccer Winning Eleven 9 for PS2","8.9",""
"355","Assassin's Creed Origins for PS4","8.1","7.2"
"356","Forza Motorsport 2 for X360","9.1",""
"357","Tekken Tag Tournament for PS2","8.7",""
"358","Super Mario Maker for WiiU","8.8","8.7"
"359","Monster Hunter: World for PS4","9.3","9"
"360","Fallout 3 for PS3","8.8",""
"361","The Last of Us: Part II for PS4","9.4","5.6"
"362","Star Fox 64 for N64","9",""
"363","World of Warcraft: Wrath of the Lich King for PC","9.3","9.3"
"364","Just Dance for Wii","5.4",""
"365","Diablo II for PC","8.8",""
"366","EyeToy Play for PS2","7.5",""
"367","The Elder Scrolls V: Skyrim for PC","9.2","8.2"
"368","Namco Museum: 50th Anniversary for PS2","5",""
"369","NBA 2K16 for PS4","8.7","6.7"
"370","Left 4 Dead 2 for X360","9",""
"371","Far Cry 5 for PS4","7.9","6.8"
"372","Assassin's Creed IV: Black Flag for PS3","8.7",""
"373","Battlefield 4 for PS4","8.3","7"
"374","EA Sports Active for Wii","8.3",""
"375","Half-Life 2: Episode One for PC","8.7",""
"376","Dragon Quest III for NES","","8"
"377","Tony Hawk's Underground for PS2","8.7",""
"378","Just Dance 2014 for Wii","7.4",""
"379","Professor Layton and the Diabolical Box for DS","8.5",""
"380","Sports Champions for PS3","7.6",""
"381","World Soccer Winning Eleven 8 International for PS2","9.3",""
"382","Resident Evil VII: Biohazard for PS4","8.6",""
"383","Monster Hunter Freedom Unite for PSP","7.7","9.7"
"384","Madden NFL 20 for PS4","7.6","1.5"
"385","Gran Turismo Sport for PS4","7.5","6"
"386","LEGO Indiana Jones: The Original Adventures for X360","7.5",""
"387","The Sims: Unleashed for PC","7.3",""
"388","Ratchet & Clank: Size Matters for PSP","8.5",""
"389","Harry Potter and the Sorcerer's Stone for PS","8",""
"390","Pokemon Trading Card Game for GB","8.3",""
"391","FIFA 17 for XOne","8.8","5.1"
"392","Spyro: Year of the Dragon for PS","9.1",""
"393","FIFA Soccer 2005 for PS2","8.4",""
"394","Diablo III: Reaper of Souls for PC","8.7","6.6"
"395","The Legend of Zelda: Skyward Sword for Wii","9.4",""
"396","Tony Hawk's Pro Skater 4 for PS2","9.6",""
"397","MySims for DS","6.7",""
"398","Midnight Club 3: DUB Edition for PSP","7.2",""
"399","Banjo-Kazooie for N64","9.3","9.4"
