"index","product_id","category","sub_category","product_name"
"127","TEC-MA-10000984","Technology","Machines","Okidata MB760 Printer"
"128","TEC-AC-10000376","Technology","Accessories","Memorex Router, Bluetooth"
"129","TEC-CO-10003800","Technology","Copiers","Hewlett Wireless Fax, Color"
"130","TEC-SAM-10004230","Technology","Phones","Samsung Smart Phone, Cordless"
"131","FUR-CH-10002320","Furniture","Chairs","Hon Pagoda Stacking Chairs"
"132","OFF-AP-10002312","Office Supplies","Appliances","KitchenAid Refrigerator, Black"
"133","TEC-PH-10000169","Technology","Phones","Apple Smart Phone, with Caller ID"
"134","FUR-CH-10000595","Furniture","Chairs","Safco Contoured Stacking Chairs"
"135","FUR-BO-10000288","Furniture","Bookcases","Safco Classic Bookcase, Traditional"
"136","TEC-AC-10000866","Technology","Accessories","Belkin Router, Erganomic"
"137","OFF-AP-10001623","Office Supplies","Appliances","Hoover Stove, White"
"138","FUR-BO-10003541","Furniture","Bookcases","Bush Classic Bookcase, Metal"
"139","TEC-CO-10004365","Technology","Copiers","HP Wireless Fax, Color"
"140","TEC-MA-10000822","Technology","Machines","Lexmark MX611dhe Monochrome Laser Printer"
"141","TEC-PH-10000800","Technology","Phones","Cisco Smart Phone, Full Size"
"142","FUR-BO-10004834","Furniture","Bookcases","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
"143","FUR-TA-10001642","Furniture","Tables","Lesro Round Table, Rectangular"
"144","OFF-AP-10001041","Office Supplies","Appliances","Hoover Stove, White"
"145","OFF-AP-10002090","Office Supplies","Appliances","Hamilton Beach Refrigerator, Red"
"146","OFF-AP-10002330","Office Supplies","Appliances","Hamilton Beach Stove, Silver"
"147","TEC-CIS-10002344","Technology","Phones","Cisco Smart Phone, Full Size"
"148","FUR-TA-10002153","Furniture","Tables","Lesro Round Table, with Bottom Storage"
"149","OFF-AP-10004964","Office Supplies","Appliances","Hoover Stove, White"
"150","TEC-AC-10003832","Technology","Accessories","Logitech P710e Mobile Speakerphone"
"151","FUR-CH-10002061","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Red"
"152","TEC-PH-10002759","Technology","Phones","Cisco Smart Phone, Cordless"
"153","TEC-PH-10001699","Technology","Phones","Samsung Smart Phone, Full Size"
"154","TEC-MA-10000418","Technology","Machines","Cubify CubeX 3D Printer Double Head Print"
"155","TEC-PH-10001494","Technology","Phones","Polycom CX600 IP Phone VoIP phone"
"156","FUR-BO-10000490","Furniture","Bookcases","Bush Library with Doors, Metal"
"157","TEC-PH-10000018","Technology","Phones","Nokia Smart Phone, Full Size"
"158","FUR-HON-10003533","Furniture","Chairs","Hon Executive Leather Armchair, Adjustable"
"159","TEC-AC-10001949","Technology","Accessories","Enermax Router, Bluetooth"
"160","OFF-HOO-10004910","Office Supplies","Appliances","Hoover Refrigerator, White"
"161","TEC-MA-10001335","Technology","Machines","Epson Printer, Durable"
"162","FUR-TA-10000347","Furniture","Tables","Hon Computer Table, Adjustable Height"
"163","TEC-PH-10000493","Technology","Phones","Apple Smart Phone, Full Size"
"164","FUR-TA-10003596","Furniture","Tables","Lesro Computer Table, Adjustable Height"
"165","FUR-TA-10003179","Furniture","Tables","Lesro Wood Table, Fully Assembled"
"166","TEC-PH-10001396","Technology","Phones","Nokia Smart Phone, Cordless"
"167","FUR-TA-10003078","Furniture","Tables","Hon Training Table, Fully Assembled"
"168","FUR-CH-10003581","Furniture","Chairs","Hon Executive Leather Armchair, Adjustable"
"169","FUR-TA-10000184","Furniture","Tables","Barricks Conference Table, Fully Assembled"
"170","OFF-AP-10001956","Office Supplies","Appliances","Breville Refrigerator, Black"
"171","TEC-PH-10002200","Technology","Phones","Samsung Galaxy Note 2"
"172","OFF-AP-10003382","Office Supplies","Appliances","Breville Stove, White"
"173","OFF-ST-10002011","Office Supplies","Storage","Smead Adjustable Mobile File Trolley with Lockable Top"
"174","OFF-AP-10003917","Office Supplies","Appliances","KitchenAid Stove, Silver"
"175","OFF-ST-10002900","Office Supplies","Storage","Smead Lockers, Wire Frame"
"176","TEC-CO-10003819","Technology","Copiers","Sharp Copy Machine, High-Speed"
"177","OFF-AP-10000675","Office Supplies","Appliances","Hamilton Beach Stove, White"
"178","FUR-BO-10003404","Furniture","Bookcases","Global Adaptabilites Bookcase, Cherry/Storm Gray Finish"
"179","OFF-AP-10001824","Office Supplies","Appliances","Breville Stove, Silver"
"180","OFF-SME-10000746","Office Supplies","Storage","Smead Lockers, Industrial"
"181","TEC-MA-10003673","Technology","Machines","Hewlett-Packard Desktjet 6988DT Refurbished Printer"
"182","OFF-ST-10001490","Office Supplies","Storage","Hot File 7-Pocket, Floor Stand"
"183","TEC-PH-10001578","Technology","Phones","Polycom SoundStation2 EX Conference phone"
"184","TEC-CO-10000208","Technology","Copiers","Brother Wireless Fax, Color"
"185","FUR-CH-10003312","Furniture","Chairs","Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs"
"186","TEC-EPS-10000053","Technology","Machines","Epson Receipt Printer, Red"
"187","OFF-ST-10004060","Office Supplies","Storage","Fellowes Lockers, Blue"
"188","TEC-PH-10000303","Technology","Phones","Samsung Smart Phone, VoIP"
"189","FUR-BO-10002708","Furniture","Bookcases","Dania Library with Doors, Pine"
"190","FUR-BO-10000210","Furniture","Bookcases","Ikea Library with Doors, Pine"
"191","FUR-BO-10001192","Furniture","Bookcases","Bush Library with Doors, Mobile"
"192","FUR-SAU-10002255","Furniture","Bookcases","Sauder Classic Bookcase, Pine"
"193","FUR-CH-10000974","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Black"
"194","OFF-AP-10003866","Office Supplies","Appliances","Breville Microwave, Red"
"195","FUR-CH-10003616","Furniture","Chairs","Novimex Executive Leather Armchair, Adjustable"
"196","FUR-CH-10000479","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Adjustable"
"197","TEC-CO-10001046","Technology","Copiers","Canon Imageclass D680 Copier / Fax"
"198","OFF-HOO-10000318","Office Supplies","Appliances","Hoover Microwave, Silver"
"199","TEC-NOK-10001283","Technology","Phones","Nokia Smart Phone, Full Size"
"200","OFF-AP-10000407","Office Supplies","Appliances","KitchenAid Refrigerator, Silver"
"201","OFF-BI-10001359","Office Supplies","Binders","GBC DocuBind TL300 Electric Binding System"
"202","FUR-CH-10002335","Furniture","Chairs","Hon GuestStacker Chair"
"203","TEC-MA-10001148","Technology","Machines","Okidata MB491 Multifunction Printer"
"204","FUR-BAR-10004434","Furniture","Tables","Barricks Wood Table, Rectangular"
"205","FUR-BO-10002444","Furniture","Bookcases","Sauder Library with Doors, Mobile"
"206","FUR-BO-10004709","Furniture","Bookcases","Bush Classic Bookcase, Pine"
"207","TEC-MA-10004772","Technology","Machines","Konica Inkjet, White"
"208","FUR-BAR-10003532","Furniture","Tables","Barricks Conference Table, Rectangular"
"209","TEC-CO-10002911","Technology","Copiers","Hewlett Wireless Fax, Laser"
"210","FUR-TA-10001705","Furniture","Tables","Bush Advantage Collection Round Conference Table"
"211","FUR-SAU-10004653","Furniture","Bookcases","Sauder Classic Bookcase, Traditional"
"212","TEC-NOK-10004339","Technology","Phones","Nokia Smart Phone, Cordless"
"213","FUR-TA-10000022","Furniture","Tables","Hon Conference Table, Adjustable Height"
"214","FUR-CH-10000843","Furniture","Chairs","SAFCO Executive Leather Armchair, Set of Two"
"215","OFF-AP-10002681","Office Supplies","Appliances","Hamilton Beach Stove, Black"
"216","TEC-AC-10002049","Technology","Accessories","Plantronics Savi W720 Multi-Device Wireless Headset System"
"217","OFF-BI-10003925","Office Supplies","Binders","Fellowes PB300 Plastic Comb Binding Machine"
"218","OFF-AP-10004627","Office Supplies","Appliances","Hamilton Beach Stove, Silver"
"219","TEC-PH-10001076","Technology","Phones","Nokia Smart Phone, Cordless"
"220","TEC-PH-10001457","Technology","Phones","Apple Smart Phone, Full Size"
"221","TEC-MA-10004534","Technology","Machines","Konica Printer, Wireless"
"222","FUR-BO-10003991","Furniture","Bookcases","Bush Classic Bookcase, Traditional"
"223","OFF-AP-10002793","Office Supplies","Appliances","KitchenAid Stove, Black"
"224","FUR-CH-10002093","Furniture","Chairs","Harbour Creations Rocking Chair, Adjustable"
"225","FUR-BO-10003103","Furniture","Bookcases","Ikea Classic Bookcase, Metal"
"226","TEC-CO-10001818","Technology","Copiers","Sharp Wireless Fax, Digital"
"227","TEC-CO-10002040","Technology","Copiers","Brother Fax Machine, Digital"
"228","TEC-CO-10001654","Technology","Copiers","Hewlett Wireless Fax, Digital"
"229","OFF-AP-10002397","Office Supplies","Appliances","Breville Microwave, White"
"230","TEC-CAN-10001853","Technology","Copiers","Canon Fax Machine, High-Speed"
"231","FUR-CH-10001207","Furniture","Chairs","Hon Executive Leather Armchair, Red"
"232","TEC-PH-10002597","Technology","Phones","Apple Signal Booster, with Caller ID"
"233","TEC-CO-10002617","Technology","Copiers","Brother Fax Machine, High-Speed"
"234","TEC-CO-10000556","Technology","Copiers","HP Wireless Fax, Laser"
"235","OFF-AP-10000275","Office Supplies","Appliances","Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black"
"236","TEC-HEW-10003460","Technology","Copiers","Hewlett Fax and Copier, Color"
"237","TEC-PH-10002672","Technology","Phones","Cisco Smart Phone, Full Size"
"238","TEC-PH-10000106","Technology","Phones","Apple Smart Phone, Full Size"
"239","OFF-AP-10003057","Office Supplies","Appliances","Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room"
"240","TEC-CO-10002095","Technology","Copiers","Hewlett Packard 610 Color Digital Copier / Printer"
"241","TEC-SAM-10000345","Technology","Phones","Samsung Audio Dock, with Caller ID"
"242","TEC-CIS-10002259","Technology","Phones","Cisco Smart Phone, Cordless"
"243","OFF-AP-10004350","Office Supplies","Appliances","KitchenAid Refrigerator, Red"
"244","OFF-HOO-10000335","Office Supplies","Appliances","Hoover Microwave, White"
"245","FUR-BO-10004129","Furniture","Bookcases","Sauder Classic Bookcase, Pine"
"246","OFF-ST-10004597","Office Supplies","Storage","Rogers File Cart, Blue"
"247","FUR-CH-10001664","Furniture","Chairs","Novimex Swivel Stool, Black"
"248","OFF-AP-10003240","Office Supplies","Appliances","Breville Stove, Black"
"249","FUR-TA-10000136","Furniture","Tables","Chromcraft Conference Table, Adjustable Height"
"250","FUR-BO-10002866","Furniture","Bookcases","Safco Classic Bookcase, Pine"
"251","OFF-ST-10004459","Office Supplies","Storage","Tennsco Single-Tier Lockers"
"252","FUR-TA-10001276","Furniture","Tables","Lesro Coffee Table, with Bottom Storage"
"253","TEC-MA-10002178","Technology","Machines","Cisco CP-7937G Unified IP Conference Station Phone"
"254","TEC-APP-10002966","Technology","Phones","Apple Smart Phone, Full Size"
"255","FUR-CH-10000685","Furniture","Chairs","Hon Executive Leather Armchair, Black"
"256","FUR-BO-10001541","Furniture","Bookcases","Bush Stackable Bookrack, Traditional"
"257","TEC-CO-10003931","Technology","Copiers","Hewlett Fax Machine, High-Speed"
"258","FUR-BO-10001553","Furniture","Bookcases","Sauder Library with Doors, Traditional"
"259","OFF-ST-10004748","Office Supplies","Storage","Smead Lockers, Blue"
"260","OFF-AP-10000540","Office Supplies","Appliances","Hamilton Beach Refrigerator, Red"
"261","TEC-CO-10004567","Technology","Copiers","Brother Fax Machine, Color"
"262","FUR-BO-10001749","Furniture","Bookcases","Bush Classic Bookcase, Traditional"
"263","OFF-ROG-10003898","Office Supplies","Storage","Rogers Lockers, Single Width"
"264","TEC-MA-10000864","Technology","Machines","Cisco 9971 IP Video Phone Charcoal"
"265","TEC-CO-10002663","Technology","Copiers","Sharp Wireless Fax, Laser"
"266","TEC-CO-10001419","Technology","Copiers","Hewlett Copy Machine, Color"
"267","TEC-CO-10003763","Technology","Copiers","Canon PC1060 Personal Laser Copier"
"268","TEC-CO-10000679","Technology","Copiers","Hewlett Personal Copier, High-Speed"
"269","FUR-IKE-10001539","Furniture","Bookcases","Ikea Classic Bookcase, Pine"
"270","TEC-CO-10002376","Technology","Copiers","Hewlett Fax Machine, Laser"
"271","FUR-TA-10002903","Furniture","Tables","Bevis Round Bullnose 29"" High Table Top"
"272","OFF-AP-10000136","Office Supplies","Appliances","Hamilton Beach Refrigerator, White"
"273","FUR-BO-10000567","Furniture","Bookcases","Sauder Classic Bookcase, Traditional"
"274","FUR-BO-10001471","Furniture","Bookcases","Sauder Classic Bookcase, Metal"
"275","OFF-ST-10001758","Office Supplies","Storage","Rogers Lockers, Blue"
"276","TEC-AC-10003870","Technology","Accessories","Logitech Z-906 Speaker sys - home theater - 5.1-CH"
"277","OFF-ST-10004191","Office Supplies","Storage","Tenex Lockers, Blue"
"278","FUR-TA-10004154","Furniture","Tables","Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer"
"279","FUR-OFF-10001224","Furniture","Chairs","Office Star Swivel Stool, Red"
"280","FUR-BO-10002545","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
"281","OFF-AP-10004913","Office Supplies","Appliances","KitchenAid Refrigerator, Black"
"282","TEC-MA-10002392","Technology","Machines","Konica Card Printer, Wireless"
"283","FUR-TA-10003222","Furniture","Tables","Barricks Wood Table, with Bottom Storage"
"284","TEC-AC-10000639","Technology","Accessories","Belkin Router, Bluetooth"
"285","FUR-TA-10003354","Furniture","Tables","Barricks Conference Table, Adjustable Height"
"286","OFF-BI-10003091","Office Supplies","Binders","GBC DocuBind TL200 Manual Binding Machine"
"287","OFF-AP-10001527","Office Supplies","Appliances","Hamilton Beach Microwave, Black"
"288","TEC-SAM-10004940","Technology","Phones","Samsung Smart Phone, Full Size"
"289","TEC-CO-10003777","Technology","Copiers","Hewlett Copy Machine, Color"
"290","OFF-AP-10001169","Office Supplies","Appliances","Cuisinart Microwave, White"
"291","FUR-BO-10002213","Furniture","Bookcases","DMI Eclipse Executive Suite Bookcases"
"292","FUR-BO-10000120","Furniture","Bookcases","Sauder Stackable Bookrack, Mobile"
"293","TEC-PH-10002991","Technology","Phones","Apple Smart Phone, Full Size"
"294","FUR-TA-10000989","Furniture","Tables","Lesro Conference Table, Rectangular"
"295","TEC-MA-10004609","Technology","Machines","Okidata Inkjet, White"
"296","TEC-CO-10003448","Technology","Copiers","Canon Personal Copier, Laser"
"297","TEC-CO-10003496","Technology","Copiers","Brother Wireless Fax, Digital"
"298","OFF-ST-10003150","Office Supplies","Storage","Smead Lockers, Wire Frame"
"299","FUR-BO-10004947","Furniture","Bookcases","Safco Stackable Bookrack, Pine"
"300","FUR-CH-10004694","Furniture","Chairs","Office Star Rocking Chair, Black"
"301","FUR-CH-10004669","Furniture","Chairs","Novimex Executive Leather Armchair, Black"
"302","FUR-BO-10001196","Furniture","Bookcases","Bush Library with Doors, Pine"
"303","OFF-KIT-10001380","Office Supplies","Appliances","KitchenAid Microwave, Black"
"304","TEC-MA-10000753","Technology","Machines","Epson Printer, Red"
"305","OFF-ST-10000624","Office Supplies","Storage","Eldon File Cart, Single Width"
"306","TEC-PH-10002601","Technology","Phones","Motorola Smart Phone, Cordless"
"307","OFF-ROG-10001735","Office Supplies","Storage","Rogers Lockers, Blue"
"308","FUR-TA-10002256","Furniture","Tables","Hon Wood Table, Fully Assembled"
"309","TEC-CO-10001413","Technology","Copiers","Hewlett Wireless Fax, High-Speed"
"310","FUR-LES-10002026","Furniture","Tables","Lesro Conference Table, Rectangular"
"311","TEC-MA-10001777","Technology","Machines","Okidata Printer, Red"
"312","FUR-CH-10004462","Furniture","Chairs","Hon Executive Leather Armchair, Adjustable"
"313","FUR-BO-10002580","Furniture","Bookcases","Safco Classic Bookcase, Pine"
"314","TEC-PH-10004618","Technology","Phones","Motorola Signal Booster, Cordless"
"315","OFF-ROG-10001101","Office Supplies","Storage","Rogers Shelving, Wire Frame"
"316","OFF-AP-10002252","Office Supplies","Appliances","Cuisinart Stove, Black"
"317","FUR-CH-10000660","Furniture","Chairs","Novimex Executive Leather Armchair, Adjustable"
"318","FUR-TA-10001285","Furniture","Tables","Chromcraft Conference Table, Fully Assembled"
"319","OFF-ST-10003741","Office Supplies","Storage","Smead Lockers, Blue"
"320","FUR-BO-10003046","Furniture","Bookcases","Safco Library with Doors, Mobile"
"321","FUR-TA-10001116","Furniture","Tables","Barricks Conference Table, Fully Assembled"
"322","TEC-PH-10004586","Technology","Phones","Wilson SignalBoost 841262 DB PRO Amplifier Kit"
"323","FUR-CH-10002780","Furniture","Chairs","Office Star Executive Leather Armchair, Black"
"324","FUR-BO-10004558","Furniture","Bookcases","Sauder Library with Doors, Pine"
"325","TEC-PH-10003457","Technology","Phones","Cisco Smart Phone, Full Size"
"326","TEC-MEM-10002005","Technology","Accessories","Memorex Router, Erganomic"
"327","TEC-CO-10003342","Technology","Copiers","Canon Fax Machine, High-Speed"
"328","FUR-CH-10004086","Furniture","Chairs","Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs"
"329","FUR-BEV-10004919","Furniture","Tables","Bevis Wood Table, with Bottom Storage"
"330","TEC-OKI-10001385","Technology","Machines","Okidata Inkjet, White"
